STATISTIC CODE,Statistic,TLIST(A1),Year,LGD2014,Local Government District 2014,UNIT,VALUE
BCOUNTS,number-of-businesses,2013,2013,N09000001,Antrim and Newtownabbey,Number,3850.0
BCOUNTS,number-of-businesses,2013,2013,N09000002,"Armagh City, Banbridge and Craigavon",Number,7870.0
BCOUNTS,number-of-businesses,2013,2013,N09000003,Belfast,Number,9620.0
BCOUNTS,number-of-businesses,2013,2013,N09000004,Causeway Coast and Glens,Number,5595.0
BCOUNTS,number-of-businesses,2013,2013,N09000005,Derry City and Strabane,Number,4500.0
BCOUNTS,number-of-businesses,2013,2013,N09000006,Fermanagh and Omagh,Number,7355.0
BCOUNTS,number-of-businesses,2013,2013,N09000007,Lisburn and Castlereagh,Number,4380.0
BCOUNTS,number-of-businesses,2013,2013,N09000008,Mid and East Antrim,Number,4580.0
BCOUNTS,number-of-businesses,2013,2013,N09000009,Mid Ulster,Number,7990.0
BCOUNTS,number-of-businesses,2013,2013,N09000010,"Newry, Mourne and Down",Number,7580.0
BCOUNTS,number-of-businesses,2013,2013,N09000011,Ards and North Down,Number,4430.0
BCOUNTS,number-of-businesses,2013,2013,N92000002,Northern Ireland,Number,67745.0
BCOUNTS,number-of-businesses,2014,2014,N09000001,Antrim and Newtownabbey,Number,3800.0
BCOUNTS,number-of-businesses,2014,2014,N09000002,"Armagh City, Banbridge and Craigavon",Number,7810.0
BCOUNTS,number-of-businesses,2014,2014,N09000003,Belfast,Number,9820.0
BCOUNTS,number-of-businesses,2014,2014,N09000004,Causeway Coast and Glens,Number,5545.0
BCOUNTS,number-of-businesses,2014,2014,N09000005,Derry City and Strabane,Number,4580.0
BCOUNTS,number-of-businesses,2014,2014,N09000006,Fermanagh and Omagh,Number,7315.0
BCOUNTS,number-of-businesses,2014,2014,N09000007,Lisburn and Castlereagh,Number,4395.0
BCOUNTS,number-of-businesses,2014,2014,N09000008,Mid and East Antrim,Number,4530.0
BCOUNTS,number-of-businesses,2014,2014,N09000009,Mid Ulster,Number,7985.0
